n_estimators,max_depth,learning_rate,num_leaves,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,val_bacc,val_f1_worse
300,3,0.1,15,30,1.0,0.8,0.0,1.0,0.6446502057613168,0.32558139534883723
300,3,0.1,31,30,1.0,0.8,0.0,1.0,0.6446502057613168,0.32558139534883723
300,3,0.1,63,10,1.0,1.0,0.1,0.1,0.6443856554967665,0.32098765432098764
300,3,0.1,31,10,0.8,1.0,0.1,0.1,0.6443856554967665,0.32098765432098764
100,-1,0.1,31,20,0.8,1.0,0.1,0.1,0.6441211052322163,0.3582089552238806
300,5,0.05,31,20,0.8,0.8,0.1,0.1,0.6428277483833039,0.3283582089552239
300,-1,0.05,31,20,1.0,0.8,0.0,0.1,0.6412698412698412,0.3103448275862069
300,5,0.1,31,20,1.0,0.8,0.1,0.1,0.6410346854791299,0.3529411764705882
100,5,0.2,31,30,1.0,1.0,0.1,0.1,0.6410346854791299,0.3582089552238806
500,5,0.05,15,30,0.8,0.8,0.1,1.0,0.6407701352145797,0.3055555555555555
100,-1,0.2,15,30,0.8,0.8,0.0,1.0,0.6402704291593181,0.37681159420289856
500,-1,0.1,63,30,1.0,0.8,0.1,0.1,0.6389770723104057,0.3636363636363636
300,-1,0.1,63,30,1.0,0.8,0.1,0.1,0.6389770723104057,0.3636363636363636
500,-1,0.05,31,20,0.8,1.0,0.0,1.0,0.6384479717813051,0.30769230769230765
500,-1,0.05,63,20,0.8,1.0,0.0,1.0,0.6384479717813051,0.32786885245901637
500,5,0.05,15,10,1.0,0.8,0.0,1.0,0.6371546149323927,0.28125
300,3,0.1,63,20,0.8,1.0,0.0,0.1,0.634861845972957,0.29629629629629634
300,3,0.1,31,20,1.0,1.0,0.0,0.1,0.634861845972957,0.29629629629629634
500,5,0.05,63,10,0.8,1.0,0.1,1.0,0.6343327454438565,0.2857142857142857
300,5,0.1,15,10,0.8,1.0,0.1,1.0,0.6343327454438565,0.2941176470588235
500,5,0.05,31,20,0.8,1.0,0.1,1.0,0.6343327454438565,0.30769230769230765
300,5,0.1,15,30,1.0,1.0,0.0,1.0,0.6343327454438565,0.30769230769230765
300,-1,0.05,63,20,1.0,0.8,0.0,1.0,0.6340681951793062,0.2857142857142857
100,-1,0.1,31,30,0.8,1.0,0.0,0.1,0.6333039388594943,0.3125
500,-1,0.2,15,20,0.8,0.8,0.1,0.1,0.6330393885949441,0.27272727272727276
500,5,0.2,31,10,0.8,1.0,0.1,0.1,0.6325396825396826,0.3098591549295775
500,-1,0.2,63,30,0.8,1.0,0.1,0.1,0.632010582010582,0.29508196721311475
300,-1,0.2,15,10,0.8,1.0,0.0,1.0,0.6309817754262199,0.29508196721311475
500,5,0.1,63,30,1.0,0.8,0.0,1.0,0.6299529688418577,0.28125
500,5,0.1,63,30,0.8,0.8,0.0,1.0,0.6299529688418577,0.28125
500,-1,0.1,31,20,1.0,1.0,0.0,1.0,0.6296884185773075,0.26229508196721313
300,-1,0.1,63,10,1.0,0.8,0.0,1.0,0.6294532627865961,0.3235294117647059
300,-1,0.05,63,30,1.0,0.8,0.1,0.1,0.6294532627865961,0.3384615384615384
500,-1,0.05,31,20,1.0,0.8,0.0,1.0,0.6289241622574956,0.28125
500,5,0.05,63,30,1.0,1.0,0.1,0.1,0.6286890064667842,0.34285714285714286
500,5,0.2,15,10,0.8,0.8,0.1,1.0,0.6286596119929454,0.24615384615384614
100,3,0.2,15,10,0.8,1.0,0.0,0.1,0.6281893004115227,0.2857142857142857
100,3,0.2,63,10,1.0,1.0,0.0,0.1,0.6281893004115227,0.2857142857142857
500,3,0.05,15,10,1.0,0.8,0.0,0.1,0.6279247501469724,0.29213483146067415
100,-1,0.1,31,20,1.0,1.0,0.0,0.1,0.6278953556731334,0.28125
100,-1,0.1,31,20,0.8,1.0,0.0,0.1,0.6278953556731334,0.28125
500,-1,0.05,63,10,1.0,0.8,0.0,0.1,0.6268665490887714,0.30508474576271183
300,3,0.1,15,10,1.0,1.0,0.1,1.0,0.62663139329806,0.2758620689655173
500,3,0.1,31,30,1.0,0.8,0.0,1.0,0.6261022927689593,0.27027027027027023
300,-1,0.1,31,30,0.8,1.0,0.1,0.1,0.6261022927689593,0.3225806451612903
100,5,0.2,63,10,0.8,1.0,0.1,1.0,0.6250734861845973,0.303030303030303
300,5,0.2,31,20,0.8,1.0,0.1,1.0,0.6250734861845973,0.2941176470588235
300,3,0.1,63,20,1.0,0.8,0.1,1.0,0.6237801293356849,0.21951219512195122
300,-1,0.2,63,20,1.0,0.8,0.1,0.1,0.6222222222222221,0.23333333333333334
500,-1,0.1,15,20,1.0,0.8,0.0,0.1,0.6217225161669606,0.2857142857142857
500,5,0.05,15,20,1.0,0.8,0.1,1.0,0.6214579659024104,0.25
100,5,0.2,63,30,1.0,0.8,0.1,0.1,0.6209582598471487,0.2941176470588235
500,5,0.05,63,20,1.0,1.0,0.0,0.1,0.6201940035273369,0.3333333333333333
100,-1,0.1,31,30,1.0,0.8,0.0,0.1,0.6199294532627865,0.303030303030303
500,5,0.05,31,30,0.8,1.0,0.0,0.1,0.6186360964138742,0.2769230769230769
300,5,0.2,15,30,0.8,0.8,0.1,0.1,0.6176072898295121,0.2769230769230769
300,5,0.2,63,10,0.8,1.0,0.1,1.0,0.6176072898295121,0.28125
300,5,0.2,31,10,1.0,1.0,0.1,1.0,0.6176072898295121,0.28125
500,-1,0.1,15,20,0.8,1.0,0.1,1.0,0.6176072898295121,0.27272727272727276
500,5,0.05,63,20,0.8,0.8,0.0,0.1,0.6168430335097002,0.3174603174603175
500,3,0.1,15,30,0.8,0.8,0.1,1.0,0.6158142269253379,0.27027027027027023
500,3,0.1,31,10,0.8,0.8,0.1,0.1,0.6155496766607877,0.2535211267605634
100,-1,0.2,31,10,0.8,0.8,0.0,0.1,0.6155496766607877,0.29508196721311475
300,-1,0.1,31,10,1.0,1.0,0.0,0.1,0.6152851263962376,0.25396825396825395
500,5,0.2,63,30,0.8,1.0,0.1,1.0,0.6145208700764256,0.27272727272727276
300,-1,0.2,15,30,1.0,1.0,0.1,1.0,0.6137272192827748,0.1935483870967742
500,5,0.05,63,20,1.0,0.8,0.1,1.0,0.6134920634920635,0.27272727272727276
300,-1,0.1,31,30,1.0,0.8,0.1,0.1,0.610405643738977,0.2857142857142857
500,5,0.2,63,10,1.0,0.8,0.0,0.1,0.6101410934744268,0.2909090909090909
500,3,0.1,31,10,1.0,0.8,0.0,0.1,0.6096413874191652,0.2777777777777778
100,-1,0.2,31,20,0.8,1.0,0.1,0.1,0.6080834803057026,0.25396825396825395
300,-1,0.05,15,30,0.8,1.0,0.0,0.1,0.606819517930629,0.31884057971014496
500,-1,0.1,15,20,1.0,0.8,0.1,0.1,0.6062904174015284,0.2769230769230769
300,-1,0.2,31,30,0.8,1.0,0.0,1.0,0.6037037037037037,0.22950819672131148
