group,intercept,mean_daily_switches,mean_daily_screens
5543,-4.408055466397671,0.9708499287011461,-0.6810076208329152
5560,3.5318549155568335,-2.38331761059815,2.5493068905564717
5797,-0.6236626090100029,-1.0445013886434906,1.3790176491893715
5967,5.184945023576891,-4.656099196411878,5.184348922867297
6230,-6.341545898772542,1.3997026230548342,-0.9834523473661632
6328,-3.8444678515186173,0.1544565984528441,0.26982211310898724
6515,-1.772701954956837,0.29843459012804563,-0.15904764331337634
6661,10.427881255005202,-1.0312496847079713,0.03289023691593884
6662,8.687144073714647,-0.8807880263178611,0.05336911062409122
6666,-0.9647909948620099,0.3365195766954945,-0.30425251617432336
6713,-5.254489373050258,0.8655613014935182,-0.4474985404346412
6818,-11.47489698460834,5.2565681573759395,-5.176051319272059
6836,0.34561274411222975,0.04595613419681688,-0.09988628945984468
7091,-5.8501265525434345,0.5222247707118207,0.05231487095436538
7179,-7.750180399441849,-0.45252855595814584,1.495668872543098
7212,14.803284635376016,6.232854465023286,-9.553868991698462
7264,3.935941454217001,-0.10982857545792624,-0.33682262127799567
7335,-0.21253329440370405,-2.9211057905205275,3.668003859852406
7383,1.0859171601701654,0.15109769751249041,-0.31936977810452405
7528,1.9145295520688912,-0.7999257127267203,0.768955791763331
7529,-0.29458712338420046,-1.3465768567829195,1.715029788300861
7659,7.78850258480155,-2.9421367507831935,2.7322495189635525
7724,0.6984734772403572,-1.6186090731807505,1.9346416220694471
7818,-5.200221711189296,1.1240609892196964,-0.7763018099103219
7999,-6.968558089393053,-0.45499621721199857,1.4038568453653182
8028,14.396325327907356,-3.9466215090255536,3.1927498450699865
8067,-1.2446891723048685,-1.4631366785270563,1.9768817644634789
8107,-1.7123596924560736,0.9948378901157087,-1.0351153991720303
8157,2.943455129631524,1.338788836272308,-2.0237661009224124
8235,-6.45650684750117,1.3629543715105108,-0.9232078723318659
8243,-1.621006696289975,1.479211840879121,-1.6491329488831834
8474,-1.6959492954020394,0.3486557577173741,-0.22971735619365408
8513,15.393593477347615,-1.349944033802684,-0.1675873321504331
8800,5.177158317037145,-0.9805812259148621,0.5997813896546293
8884,-3.8662606831641853,2.153650640117825,-2.220604496464299
8969,-5.718277175007984,-0.2965742136481504,1.0556917283884881
9022,-3.22933459701048,0.09739411676058579,0.2668403817850408
9168,-0.5145102528898527,-0.5617299847447796,0.7623585600501783
9277,2.356063168313998,-1.2171351102354528,1.233789448104526
9335,2.574169266790404,-0.5417878323272378,0.3655922624346193
9373,-3.6717948607748307,-0.07065641180161675,0.5299653006655588
9389,4.961022912074598,-0.2290158024057085,-0.3116861155609085
9396,-1.5036391084432186,0.49483907845539576,-0.4358482009261023
9404,7.148242422341248,-1.7226783896315996,1.2870116973127046
9459,-1.595059615408898,-0.08532906975916466,0.2984856683886929
9470,-6.874232275247101,1.0672021472382256,-0.5043220814083786
9713,-1.6247716335262647,-0.24904073736153734,0.505832183734228
5125520792,0.4415976312958708,-2.3477257988445848,2.876318542575437
