group,intercept,prior_cesd,mean_daily_switches,mean_daily_screens
8243,-1.0663982102980274,-0.15278988512781858,2.321312022523509,-2.431520353857247
8474,-3.6551949611086276,0.17222664003213842,0.6454762379042902,0.166124736949129
8513,9.47251247730872,0.19233315273865767,-2.107998670890577,0.390277058086252
8800,3.191883849677951,0.1403177220366892,-1.2688401300598855,0.7894132520004767
8884,-3.9874488062341555,0.00999715579228477,2.090537434219355,-1.4673414967771548
8969,-5.281912701110625,0.014074933243179051,-0.5833101570220256,1.7687021421542006
9022,-2.583490762831862,-0.0160179019692408,0.3579483992279705,0.15156007436576177
9168,-0.3630807152506518,-0.016424143542303593,-0.7532176420612614,0.9130232204746348
9277,4.719648504195759,-0.09713076381525292,-1.4229954688411566,0.5135318387133565
9335,2.947953323019037,0.012478632979171848,-1.0102853577333601,0.49164113179740254
9373,-3.2573081539489968,0.018406814190901056,0.2953372459691517,0.3891603436993285
9389,5.059999222505624,0.07394485759844661,-0.8780985059982906,-0.08787469109034662
9396,-0.18887440706353315,-0.02895593323401735,0.616105469545259,-0.6551899696885533
9404,11.921561947944989,-0.21164369280133186,-3.8361726499921955,1.5949461618172074
9459,-1.233139620833541,-0.02116956236167631,0.12893662723339872,0.11649686565380596
9470,-6.1611929065021345,0.0028973326337365757,1.5311737273783392,-0.3783026228414387
9713,-0.7481144770712861,-0.025739207616548063,-0.4129154635335932,0.6127987919741635
5125520792,1.153753470838733,0.029314872871741164,-2.136541018377983,2.180418846667255
