alpha,l1_ratio,train_mae,train_rmse,val_mae,val_rmse,n_nonzero_coefs,n_iter,intercept
0.01,0.7,4.731183870458977,7.016958527656087,4.57342671836689,6.558845281185725,1,2,2.410069171016535
0.01,0.9,4.7311596989863265,7.016958541119276,4.573390434691901,6.558823560048615,1,2,2.4099286718936064
0.01,0.95,4.7311541051641415,7.016958544882858,4.5733814769434575,6.558818130090299,1,2,2.409893546492499
0.01,0.99,4.73114963007794,7.016958548008289,4.573374310699137,6.558813786217531,1,2,2.409865445992941
0.05,0.1,4.731089092351252,7.016958600293466,4.573277367730783,6.558755034122676,1,2,2.409485310217825
0.05,0.5,4.7308653682113775,7.016958955190464,4.572919103828284,6.558538080488176,1,2,2.4080804746884006
0.05,0.7,4.730753482435309,7.0169592281341835,4.5727399339148755,6.558429681947581,1,2,2.4073779080652926
0.05,0.9,4.730641580850685,7.0169595647773475,4.572560738686209,6.5583213356297145,1,2,2.4066752421752104
0.05,0.95,4.73061360298405,7.016959658894339,4.572515935922906,6.558294257213417,1,2,2.40649956018976
0.05,0.99,4.730591219979172,7.016959737055905,4.572480092572778,6.558272596831995,1,2,2.406359010133218
0.1,0.1,4.730889078782566,7.016958905522048,4.572957073096013,6.558561060723302,1,2,2.408229360958997
0.1,0.5,4.730441653001093,7.016960324723596,4.572240581318957,6.558127927912278,1,2,2.405419831174025
0.1,0.7,4.730217845300643,7.016961416524813,4.571882183605515,6.557911674930262,1,2,2.4040144709409783
0.1,0.9,4.729993974357996,7.016962763414082,4.5715236846182625,6.557695631203679,1,2,2.4026087135899217
0.1,0.95,4.7299379967376005,7.016963140019219,4.571434044042386,6.557641652995154,1,2,2.4022572121827412
0.1,0.99,4.729893211793897,7.016963452794279,4.57136232702198,6.557598479857598,1,2,2.4019759931773437
0.5,0.1,4.729293534053768,7.016968623365041,4.570402024358435,6.5570214272546625,1,2,2.3982104245801685
0.5,0.5,4.727057310086597,7.017004026099811,4.566821014612276,6.554886692065392,1,2,2.384168458064595
0.5,0.7,4.725936830825455,7.017031326102691,4.565026718864878,6.553827223148824,1,2,2.377132609912824
0.5,0.9,4.7248147689209965,7.017065061198431,4.563229888728608,6.552773058437399,1,2,2.3700868238367754
0.5,0.95,4.724534005763846,7.017074503631939,4.562780284566915,6.552510349433476,1,2,2.368323822049214
0.5,0.99,4.724309323832917,7.017082348663515,4.562420486891792,6.552300422527586,1,2,2.366912972242991
1.0,0.1,4.727310444211187,7.01699874250089,4.567226374621179,6.555126982387483,1,2,2.385757968307587
1.0,0.5,4.722840283396559,7.017139966785558,4.560068017641247,6.550934585597716,1,2,2.357688396833639
1.0,0.7,4.720595748729653,7.017249188717529,4.556473699435295,6.548870294531018,1,2,2.3435942447726377
1.0,0.9,4.7183448756252995,7.017384438833459,4.55286923108043,6.546827583488237,1,2,2.329460291632814
1.0,0.95,4.717781163820873,7.017422343798748,4.552005041420664,6.546320304959722,1,2,2.325920564665213
1.0,0.99,4.717339270242737,7.017453851152086,4.551321981757418,6.545915466218591,1,2,2.3230869826696177
5.0,0.1,4.712082480208045,7.017915547843126,4.543081121229696,6.541118357989786,1,2,2.288900870861159
5.0,0.5,4.69207756353499,7.0213687726680325,4.510246533326773,6.523188356264855,1,2,2.1491568592220824
5.0,0.7,4.682713573169286,7.0241008504643,4.493988812425638,6.515080707663967,1,2,2.077819477788812
5.0,0.9,4.673584234477092,7.0275394637132775,4.477502183580406,6.507584130955808,1,2,2.005477669386945
5.0,0.95,4.671477552019782,7.02851281208819,4.4734734802094165,6.505809085835558,1,2,1.9872327852412401
