feature,coefficient,abs_coefficient
pid_7529,1.1252860668214415,1.1252860668214415
mean_daily_overnight_ratio,1.0327355511860767,1.0327355511860767
pid_3173,-1.0001246096235985,1.0001246096235985
pid_1234,0.9273971907820694,0.9273971907820694
mean_daily_social_ratio,-0.9190486052098458,0.9190486052098458
mean_daily_screens,0.9142812202154978,0.9142812202154978
pheno_0,-0.8077046012643716,0.8077046012643716
pid_8107,-0.7209179806959018,0.7209179806959018
pid_6666,-0.6607241546408726,0.6607241546408726
prior_cesd,-0.6416003271369553,0.6416003271369553
mean_daily_screens_delta,-0.578364114328271,0.578364114328271
pid_6515,-0.5773109211476649,0.5773109211476649
pid_5560,0.5336170057962492,0.5336170057962492
pid_5797,0.5292224197234301,0.5292224197234301
pheno_4,-0.513418638488149,0.513418638488149
pid_9396,0.4451123017798913,0.4451123017798913
mean_daily_switches_delta,0.2949648894774618,0.2949648894774618
pheno_3,-0.2806750457393153,0.2806750457393153
pid_7335,-0.2698423022240975,0.2698423022240975
switches_per_screen,0.2441986750540014,0.2441986750540014
clip_dispersion_delta,0.210561317011513,0.210561317011513
pid_8067,0.2061302842815881,0.2061302842815881
switches_per_screen_delta,-0.1582541010947363,0.1582541010947363
mean_daily_unique_apps_delta,0.157805721664267,0.157805721664267
clip_dispersion,0.095468221372327,0.095468221372327
mean_daily_social_screens_delta,0.0902683879822241,0.0902683879822241
mean_daily_social_screens,0.0886374415915026,0.0886374415915026
