group,intercept,prior_cesd,mean_daily_social_ratio
7724,-4.0816853460584985,-0.13208683066459312,2.5319657435031093
7818,-8.730445414712676,-0.054226410399324784,11.810950034095264
7999,-6.572145907342624,0.038344536308622196,-7.014854069823787
8028,11.137064659137208,0.2418201670795739,-21.509681466866976
8067,-2.025044549797677,0.1455316969908378,-3.1649500066272083
8107,-1.4925126522547567,-0.007735273015522871,1.9613281516230106
8157,5.75540497676403,-0.11059066443831728,7.882257292185736
8235,-6.507603263176994,-0.11871196730872949,11.623554227652885
8243,1.1620499768493724,-0.12599970420127088,5.702579994085358
8474,-2.401667941084267,0.16146060896658634,-1.940689594254477
8513,10.46567934002172,0.18238146199518393,-17.674143687217356
8800,3.3498243947665727,0.14696798434836092,-9.241592688213764
8884,-3.3240719477069507,0.03942501648455224,-6.162666669903198
8969,-4.596634269269942,-0.029649500432832637,6.2760645227336616
9022,-2.7604788080501312,-0.024426444099861132,3.7320656839118183
9168,-0.9804585072513979,-0.003392845719364237,-2.026202777635769
9277,3.612737595784707,-0.0740592169916989,-0.8655563092954113
9335,4.138993470313208,0.03612108207990542,-5.986874844283189
9373,-3.868943969525212,0.00427127093163499,3.077060328309181
9389,4.500316886643267,0.07993884902257546,-7.745729141730057
9396,0.13670161991366792,-0.05027011627858522,8.066004802787946
9404,13.068515317678342,-0.15352920744847906,-1.2199770018344402
9459,-1.5680965699639247,-0.024542889319014806,1.9186069205901222
9470,-7.043777055363967,-0.02313105743188747,8.756888484919905
9713,-0.2139502473749525,-0.01170134464679519,-2.1556932599502994
5125520792,2.3877110929757017,0.0399167314242041,-3.793727521835438
